beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
Inhaler,"Magic Rock Brewing","IPA - Session",4.5,0,,Druggists,Singapore,,Singapore,1.31108,103.86,4,"2018-05-24 21:59:36",https://untappd.com/c/602114081,https://untappd.com/beer/1442126,https://untappd.com/brewery/13156,England,Huddersfield,"West Yorkshire",,,Draft,602114081,1442126,13156,https://untappd.s3.amazonaws.com/photos/2018_05_24/a7e037c0ff538b8cf7b36cc52e7d58ec_raw.jpeg,3.67,3.67,,0,0
"Stick In The Ear",Mikkeller,"IPA - American",6.5,0,,Druggists,Singapore,,Singapore,1.31108,103.86,4,"2018-05-24 22:36:54",https://untappd.com/c/602117560,https://untappd.com/beer/1452801,https://untappd.com/brewery/2813,Denmark,Copenhagen,"Region Hovedstaden",,,Draft,602117560,1452801,2813,,3.68,3.68,,0,0
Guerrilla,"CRAK Brewery","IPA - American",5.8,43,,"La Bottega Della Birra",Sorrento,Campania,Italia,40.6265,14.3724,,"2018-09-17 23:51:02",https://untappd.com/c/653056633,https://untappd.com/beer/960836,https://untappd.com/brewery/183551,Italy,Campodarsego,Veneto,"fruity,light,hoppy",,Can,653056633,960836,183551,,3.73,3.73,,0,0
"Woo Beer No.1","North Taiwan Brewery","Specialty Grain",6,0,"Refreshing, dry","Woo Taipei (窩台北)",台北市,,臺灣,25.0439,121.552,3,"2019-01-03 22:52:04",https://untappd.com/c/697065102,https://untappd.com/beer/1072314,https://untappd.com/brewery/11677,Taiwan,"Taipei County",,"citrusy,floral,fruity,dry,boozy","Woo Taipei (窩台北)",Bottle,697065102,1072314,11677,https://untappd.s3.amazonaws.com/photos/2019_01_03/500ac452c8a6e5cce6cd6735fee68ff5_raw.jpg,3.47,3.66,,0,0
"Pilsner Urquell","Plzeňský Prazdroj","Pilsner - Czech",4.4,40,,"Woo Taipei (窩台北)",台北市,,臺灣,25.0439,121.552,3,"2019-01-03 23:06:29",https://untappd.com/c/697066102,https://untappd.com/beer/37936,https://untappd.com/brewery/1459,"Czech Republic",Pilsen,Jihozápad,,"Woo Taipei (窩台北)",Bottle,697066102,37936,1459,,3.37,3.37,,1,0
"Orange Ave. Wit","Coronado Brewing Company","Wheat Beer - Witbier / Blanche",5.2,15,,"Woo Taipei (窩台北)",台北市,,臺灣,25.0439,121.552,3.5,"2019-01-03 23:10:08",https://untappd.com/c/697066420,https://untappd.com/beer/9827,https://untappd.com/brewery/404,"United States","San Diego",CA,,,Bottle,697066420,9827,404,,3.55,3.55,,0,0
"Tai.P.A. (台.P.A.)","Redpoint Brewing Company","IPA - American",5.8,40,,"ABV% 加勒比海 精釀啤酒餐廳",台北市,,臺灣,25.0404,121.554,3.5,"2019-01-04 00:07:25",https://untappd.com/c/697071846,https://untappd.com/beer/624688,https://untappd.com/brewery/119659,Taiwan,Taipei,,malty,"ABV% 加勒比海 精釀啤酒餐廳",Bottle,697071846,624688,119659,https://untappd.s3.amazonaws.com/photos/2019_01_03/ecb1b5571346328b24ab38cc313d353b_raw.jpg,3.45,3.5,,0,0
"Summer Mosaic (盛夏馬賽克)","Jim & Dad's Brewing Company","Pale Ale - American",5,35,,"ABV% 加勒比海 精釀啤酒餐廳",台北市,,臺灣,25.0404,121.554,3.5,"2019-01-04 00:09:50",https://untappd.com/c/697072118,https://untappd.com/beer/2060963,https://untappd.com/brewery/144050,Taiwan,"Yuanshan Township","Yilan County","fruity,hoppy","ABV% 加勒比海 精釀啤酒餐廳",Bottle,697072118,2060963,144050,https://untappd.s3.amazonaws.com/photos/2019_01_03/e9be6b55a99c5d1f22bd04d1765e251e_raw.jpg,3.59,3.63,,0,0
"New French IPA","Formosa Brewing Co","IPA - Other",5.5,0,,"B2 Craft Beer Cafe (啤啤精釀啤酒屋)",大安區,臺北市,臺灣,25.0436,121.547,3.25,"2019-01-05 22:37:55",https://untappd.com/c/697808512,https://untappd.com/beer/3024125,https://untappd.com/brewery/324996,Taiwan,,,"hoppy,bitter,acidic","B2 Craft Beer Cafe (啤啤精釀啤酒屋)",Bottle,697808512,3024125,324996,https://untappd.s3.amazonaws.com/photos/2019_01_05/bb3b5b0edfa6935db83a6677b617e0a6_raw.jpg,3.63,3.67,,0,0
"Tropical Torpedo","Sierra Nevada Brewing Co.","IPA - American",6,35,,"B2 Craft Beer Cafe (啤啤精釀啤酒屋)",大安區,臺北市,臺灣,25.0436,121.547,2.75,"2019-01-05 22:41:36",https://untappd.com/c/697809267,https://untappd.com/beer/1741133,https://untappd.com/brewery/1142,"United States",Chico,CA,"tropical,smooth,hoppy","B2 Craft Beer Cafe (啤啤精釀啤酒屋)",Bottle,697809267,1741133,1142,https://untappd.s3.amazonaws.com/photos/2019_01_05/9484225abce47c8c383119e74170df1a_raw.jpg,3.62,3.62,,0,0
